start [seconds];end [seconds];frog species;recording;sequence within recording;ioi* [seconds];situation;* in this case end-to-end intervals
316,329751;316,708596;WSF;2;WSF 2;0,226901999999995;alone;
316,809892;316,935498;WSF;2;WSF 2;0,470011;alone;
317,067182;317,405509;WSF;2;WSF 2;1,81319000000002;alone;
319,055614;319,218699;WSF;2;WSF 2;0,64930499999997;alone;
319,72619;319,868004;WSF;2;WSF 2;0,628032000000019;alone;
320,263056;320,496036;WSF;2;WSF 2;0,939009999999996;alone;
320,867791;321,435046;WSF;2;WSF 2;1,74025699999999;alone;
322,786328;323,175303;WSF;2;WSF 2;1,13552300000003;alone;
324,102157;324,310826;WSF;2;WSF 2;1,83344899999997;alone;
325,64894;326,144275;WSF;2;WSF 2;0,716160000000002;alone;
326,446136;326,860435;WSF;2;WSF 2;0,715146000000004;alone;
327,034663;327,575581;WSF;2;WSF 2;0,614864000000011;alone;
327,682954;328,190445;WSF;2;WSF 2;0,479128000000003;alone;
328,30187;328,669573;WSF;2;WSF 2;0,124593000000004;alone;
328,694897;328,794166;WSF;2;WSF 2;0,255265000000009;alone;
328,892423;329,049431;WSF;2;WSF 2;0,36972899999995;alone;
329,226698;329,41916;WSF;2;WSF 2;0,147891000000016;alone;
329,450561;329,567051;WSF;2;WSF 2;0,465959999999995;alone;
329,811174;330,033011;WSF;2;WSF 2;0,497361000000012;alone;
330,23155;330,530372;WSF;2;WSF 2;0,485206000000005;alone;
330,629642;331,015578;WSF;2;WSF 2;0,52369699999997;alone;
331,129029;331,539275;WSF;2;WSF 2;0,503439000000014;alone;
331,824929;332,042714;WSF;2;WSF 2;0,470011999999997;alone;
332,239228;332,512726;WSF;2;WSF 2;0,233992000000001;alone;
332,625164;332,746718;WSF;2;WSF 2;0,21981199999999;alone;
332,756848;332,96653;WSF;2;WSF 2;0,568267000000048;alone;
333,308908;333,534797;WSF;2;WSF 2;0,0901539999999841;alone;
333,540875;333,624951;WSF;2;WSF 2;0,504451000000017;alone;
333,909591;334,129402;WSF;2;WSF 2;0,407207999999969;alone;
334,362382;334,53661;WSF;2;WSF 2;0,143840000000012;alone;
334,576116;334,68045;WSF;2;WSF 2;0,337313999999992;alone;
334,905326;335,017764;WSF;2;WSF 2;0,153969000000018;alone;
335,076516;335,171733;WSF;2;WSF 2;0,593592000000001;alone;
335,666056;335,765325;WSF;2;WSF 2;0,654368999999974;alone;
336,277881;336,419694;WSF;2;WSF 2;2,19203600000003;alone;
338,385841;338,61173;WSF;2;WSF 2;0,815428999999995;alone;
339,384615;339,427159;WSF;2;WSF 2;0,652342999999973;alone;
339,992388;340,079502;WSF;2;WSF 2;0,658421000000033;alone;
340,565721;340,737923;WSF;2;WSF 2;0,631070999999963;alone;
341,211986;341,368994;WSF;2;WSF 2;1,22365000000002;alone;
342,330289;342,592644;WSF;2;WSF 2;0,369729000000007;alone;
342,63215;342,962373;WSF;2;WSF 2;0,281601999999964;alone;
343,212573;343,243975;WSF;2;WSF 2;0,600682000000006;alone;
343,663338;343,844657;WSF;2;WSF 2;0,303887000000032;alone;
343,939875;344,148544;WSF;2;WSF 2;0,367703000000006;alone;
344,349109;344,516247;WSF;2;WSF 2;0,619927999999959;alone;
344,938649;345,136175;WSF;2;WSF 2;2,39057500000001;alone;
347,199565;347,52675;WSF;2;WSF 2;0,836701000000005;alone;
347,956243;348,363451;WSF;2;WSF 2;2,66711099999998;alone;
350,71452;351,030562;WSF;2;WSF 2;2,23660600000005;alone;
352,725237;353,267168;WSF;2;WSF 2;0,144851999999958;alone;
353,27122;353,41202;WSF;2;WSF 2;1,39382700000004;alone;
354,532349;354,805847;WSF;2;WSF 2;0,142826999999954;alone;
354,809899;354,948674;WSF;2;WSF 2;0,521672000000024;alone;
355,199887;355,470346;WSF;2;WSF 2;2,25585100000001;alone;
357,220733;357,726197;WSF;2;WSF 2;2,357147;alone;
359,356043;360,083344;WSF;2;WSF 2;1,97323699999998;alone;
361,454886;362,056581;WSF;2;WSF 2;1,90638200000001;alone;
363,326827;363,962963;WSF;2;WSF 2;0,10028299999999;alone;
363,980184;364,063246;WSF;2;WSF 2;2,73599200000001;alone;
366,159051;366,799238;WSF;2;WSF 2;4,42357700000002;alone;
370,804464;371,222815;WSF;2;WSF 2;0,400116999999966;alone;
371,287644;371,622932;WSF;2;WSF 2;3,423789;alone;
374,406533;375,046721;WSF;2;WSF 2;3,59599200000002;alone;
378,051147;378,642713;WSF;2;WSF 2;0,769845999999973;alone;
378,918236;379,412559;WSF;2;WSF 3;;;
459,063264;459,787527;WSF;2;WSF 3;11,362321;alone;
470,327328;471,149848;WSF;2;WSF 3;5,525671;alone;
475,910738;476,675519;WSF;2;WSF 3;4,67175;alone;
480,4974;481,347269;WSF;2;WSF 3;3,811751;alone;
484,411459;485,15902;WSF;2;WSF 3;4,554247;alone;
489,046743;489,713267;WSF;2;WSF 3;8,759025;alone;
497,798677;498,472292;WSF;2;WSF 3;11,554782;alone;
509,524648;510,027074;WSF;2;WSF 3;2,495922;alone;
512,004363;512,522996;WSF;2;WSF 3;2,93048;alone;
514,828483;515,453476;WSF;2;WSF 3;2,881858;alone;
517,977761;518,335334;WSF;2;WSF 3;2,939596;alone;
520,707675;521,27493;WSF;2;WSF 3;3,38631;alone;
524,167931;524,66124;WSF;2;WSF 3;3,586875;alone;
527,838881;528,248115;WSF;2;WSF 3;48,707958;alone;
576,10823;576,956073;WSF;2;WSF 3;5,04857;alone;
581,408012;582,004643;WSF;2;WSF 3;3,478489;alone;
584,839905;585,483132;WSF;2;WSF 3;5,071867;alone;
589,98977;590,554999;WSF;2;WSF 3;4,309112;alone;
594,487292;594,864111;WSF;2;WSF 3;;;
;;;;;;;
102,498132;102,772862;WSF;3;WSF 1 ;0,460420999999997;alone;
102,89691;103,233283;WSF;3;WSF 1 ;8,65363600000001;alone;
111,581747;111,886919;WSF;3;WSF 1 ;0,292233999999993;alone;
111,930298;112,179153;WSF;3;WSF 1 ;22,949524;alone;
134,554102;135,128677;WSF;3;WSF 1 ;0,305171999999999;alone;
135,193364;135,433849;WSF;3;WSF 1 ;4,69172999999998;alone;
139,477945;140,125579;WSF;3;WSF 1 ;5,21379400000001;alone;
144,738162;145,339373;WSF;3;WSF 1 ;7,52198900000002;alone;
152,235798;152,861362;WSF;3;WSF 1 ;10,512063;alone;
162,957144;163,373425;WSF;3;WSF 1 ;4,453529;alone;
167,264555;167,826954;WSF;3;WSF 1 ;0,264837;alone;
167,836847;168,091791;WSF;3;WSF 1 ;2,24883399999999;alone;
169,708973;170,340625;WSF;3;WSF 1 ;3,03725800000001;alone;
172,704375;173,377883;WSF;3;WSF 1 ;2,627826;alone;
175,41363;176,005709;WSF;3;WSF 1 ;1,44671199999999;alone;
176,740861;177,452421;WSF;3;WSF 1 ;2,62402;alone;
179,425763;180,076441;WSF;3;WSF 1 ;0,942912000000007;alone;
180,375525;181,019353;WSF;3;WSF 1 ;1,80135100000001;alone;
182,141107;182,820704;WSF;3;WSF 1 ;0,779291000000001;alone;
183,036074;183,599995;WSF;3;WSF 1 ;1,02814699999999;alone;
184,04063;184,628142;WSF;3;WSF 1 ;2,276231;alone;
186,287181;186,904373;WSF;3;WSF 1 ;0,710799000000009;alone;
187,084737;187,615172;WSF;3;WSF 1 ;0,642306999999988;alone;
187,878488;188,257479;WSF;3;WSF 1 ;0,664376000000004;alone;
188,454585;188,921855;WSF;3;WSF 1 ;0,596644999999995;alone;
189,122005;189,5185;WSF;3;WSF 1 ;0,468793000000005;alone;
