Bass,Bass peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
65.582304,0.410342,43.635599,0.210706,40.432691,0.675931,33.854372,0.041294,223.462431,0.11271,,,32.510564,0.031067,175.626008,0.249919
66.137599,0.423156,43.82075,0.176696,40.558516,0.121553,34.015492,0.578824,223.54991,0.019994,,,32.675959,0.070864,175.804592,0.608774
66.955904,0.430612,44.314275,0.491638,40.699884,0.106449,34.201694,0.030608,223.655608,0.431257,,,32.830622,0.157539,176.033665,0.346707
67.191417,0.397793,44.508716,0.13975,40.89335,0.063292,34.372841,0.158951,223.992684,0.087901,,,33.002373,0.055647,177.546511,0.191892
67.460038,0.347219,44.69676,0.428793,41.104878,0.684219,34.564,0.640728,224.182037,0.095094,,,33.174021,0.026731,178.405978,0.21089
68.328504,0.691753,45.013663,0.157023,41.279664,0.102107,35.073176,0.178901,224.362675,0.627608,,,33.336039,0.195854,178.555676,0.260827
68.563626,0.52811,45.203332,0.29252,41.43049,0.118138,35.262118,0.01973,224.690249,0.072807,,,33.498145,0.583192,178.722842,0.448869
68.836782,0.434844,45.397626,0.282538,41.632991,0.077597,35.417774,0.077179,224.864521,0.04459,,,33.677899,0.037908,178.897884,0.375927
69.204877,0.435926,45.700393,0.551913,41.767755,0.147597,35.575374,0.069068,225.06648,0.544064,,,34.017651,0.103594,179.076077,0.365528
69.522286,0.444156,45.908033,0.23935,41.945798,0.29843,35.739288,0.09926,225.392541,0.101752,,,34.17453,0.15478,179.235285,0.414796
69.877149,0.375858,46.372728,0.342805,42.223525,0.114931,36.084977,0.22066,225.594247,0.106315,,,34.364241,0.019617,179.426364,0.826908
70.200114,0.498633,46.558575,0.390032,42.420617,0.189029,36.233987,0.154817,225.771366,0.525091,,,34.571274,0.129907,179.59969,0.811593
71.073693,0.55998,46.861207,0.159767,42.637736,0.307263,36.493742,0.299018,226.100849,0.02638,,,34.698089,0.035242,179.778758,0.48748
71.598827,0.357573,47.039144,0.342067,42.911652,0.123797,36.589243,0.280333,226.287017,0.060008,,,34.862384,0.018149,179.960385,0.343433
72.252754,0.314219,47.234979,0.292373,43.12551,0.402634,36.751083,0.425415,226.466047,0.492661,,,35.064492,0.618207,180.146468,0.340932
72.656765,0.40257,47.541643,0.217497,43.439659,0.131122,36.908844,0.509202,226.791183,0.083712,,,35.414902,0.034629,180.412668,0.533572
72.975846,0.38043,47.72008,0.380178,43.792342,0.200488,37.080897,0.033585,226.883831,0.016729,,,35.564787,0.161926,180.621702,0.322403
73.83792,0.574065,47.897515,0.2324,44.167931,0.125261,37.26339,0.581225,227.508661,0.040718,,,35.748665,0.024175,180.861758,0.320771
74.070925,0.462861,48.090001,0.403733,44.475967,0.248073,37.417581,0.03401,227.883344,0.521182,,,36.074498,0.330703,181.148624,0.255113
74.33402,0.375982,48.398961,0.288034,44.825396,0.18105,37.587474,0.023665,228.222671,0.093695,,,36.239491,0.578906,181.298942,0.371183
74.693174,0.363632,48.595226,0.229836,45.122202,0.125949,37.766519,0.281175,228.415718,0.10839,,,36.415441,0.056509,181.509402,0.20663
75.034341,0.576835,48.788304,0.212059,45.374045,0.119982,37.955001,0.122855,228.567425,0.42655,,,36.501048,0.055452,181.770927,0.199806
75.410733,0.49241,49.114349,0.254915,45.647812,0.143124,38.092044,0.061042,228.913067,0.015856,,,36.595344,0.052645,181.997413,0.192099
75.72869,0.430238,49.293131,0.263481,45.874556,0.13274,38.271659,0.057606,229.076786,0.089511,,,36.754543,0.09878,182.208333,0.513782
76.552481,0.376168,49.47772,0.140989,46.201354,0.199959,38.429879,0.027201,229.271736,0.379734,,,36.916265,0.160014,182.467097,0.35941
77.079234,0.30594,49.804053,0.420174,46.555652,0.306337,38.613543,0.098523,229.433973,0.036586,,,37.097208,0.024009,182.624786,0.444223
77.922041,0.38828,50.907562,0.248042,46.886168,0.309059,38.922044,0.147496,229.596557,0.115678,,,37.271363,0.119443,182.775978,0.352339
78.15099,0.360785,51.380816,0.236949,47.223899,0.347378,39.116554,0.176324,229.79228,0.1076,,,37.434853,0.139657,182.949948,0.41166
78.451616,0.384525,52.542498,0.213473,47.549306,0.130641,39.276599,0.020187,229.968401,0.456779,,,37.607667,0.016548,183.106562,0.412274
79.288016,0.484807,53.072559,0.1998,47.715189,0.203619,39.434617,0.600689,230.305728,0.043762,,,37.758952,0.521142,183.267914,0.491377
79.491794,0.328366,53.556231,0.152233,47.874679,0.147497,39.597225,0.104003,230.493812,0.06811,,,37.96434,0.017827,183.421414,0.404022
79.79617,0.285728,53.913758,0.180853,48.104604,0.222389,39.768065,0.156153,230.69159,0.362547,,,38.100225,0.127542,183.582904,0.204062
