Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Trumpet,Trumpet peak
82.743716,0.473453,84.059908,0.707945,34.559527,0.24846,45.335054,0.302152,36.728985,0.051923,188.407855,0.132654,137.09446,0.340235
82.921504,0.29953,84.491632,0.219074,34.790765,0.368775,45.783819,0.107024,36.942903,0.091541,188.62646,0.653219,137.486602,0.514785
84.037723,0.654605,84.924477,0.513792,35.006585,0.225667,46.184384,0.16616,37.16865,0.105737,189.058537,0.06423,137.826425,0.294486
84.462909,0.690029,85.564619,0.582133,35.223728,0.184101,46.404141,0.174157,37.375836,0.061047,189.295178,0.081265,138.157971,0.823724
85.814505,0.545049,86.211161,0.882614,35.443095,0.168926,46.621041,0.337798,37.598511,0.038819,189.513537,0.586201,138.492692,0.756203
86.210466,0.466809,87.099708,0.959612,35.691899,0.403456,47.282175,0.154629,37.797969,0.146299,189.939517,0.084263,138.829981,0.406612
86.388137,0.312926,87.54974,0.767262,36.11702,0.441677,47.512367,0.182791,38.026667,0.221895,190.398008,0.542583,139.072286,0.307137
86.571307,0.290862,88.42558,0.544057,36.353654,0.260247,47.719305,0.467861,38.26523,0.034174,190.819502,0.063655,139.301069,0.197239
87.539278,0.702463,89.108009,0.511116,36.547636,0.422576,48.159163,0.279337,38.662626,0.063878,191.060782,0.15618,140.164015,0.440021
87.948499,0.744194,89.777456,0.945103,36.737879,0.186146,48.391212,0.172102,38.885344,0.063828,191.272555,0.536862,140.399653,0.461304
89.299643,0.589556,90.667434,0.849496,36.96194,0.379548,48.792041,0.124112,39.109693,0.061784,191.50719,0.475909,140.601276,0.785693
89.717091,0.506267,91.123271,0.817271,37.20317,0.281899,49.219702,0.219479,39.33085,0.02096,191.722164,0.114576,140.822577,0.65228
89.895058,0.317395,91.984514,0.605128,37.392453,0.212204,49.658236,0.137377,39.532971,0.020037,191.951592,0.171745,141.059735,0.81159
90.078094,0.288954,92.65474,0.640854,37.604916,0.169646,49.873914,0.294758,39.757965,0.208528,192.165525,0.62302,141.327882,0.481631
91.064919,0.663465,93.303655,0.889511,37.787585,0.565694,50.103504,0.239497,40.189752,0.052812,192.600299,0.055895,141.432272,0.170794
91.509951,0.642242,94.220765,0.602478,38.027081,0.326954,50.699097,0.158451,40.412777,0.076205,192.842534,0.121184,141.707187,0.314793
92.386255,0.408188,94.652942,0.793366,38.262256,0.505359,50.924912,0.194661,40.623077,0.062808,193.052285,0.555949,141.97416,0.259602
92.622164,0.493037,95.509937,0.579206,38.453592,0.303465,51.150288,0.582712,41.047207,0.066253,193.487272,0.069791,142.363451,0.198132
93.295832,0.497176,96.180111,0.648469,38.675126,0.302565,51.571245,0.297211,41.15105,0.198781,193.934555,0.596363,142.587461,0.264876
93.473772,0.298717,96.830987,0.667965,38.903423,0.247527,51.791908,0.308192,41.240376,0.399841,194.372159,0.089434,142.837316,0.239526
94.632494,0.70059,97.750962,0.635546,39.117953,0.39974,52.249605,0.272709,41.480419,0.43931,194.599742,0.143111,143.27459,0.525802
95.049063,0.642303,98.198933,0.914904,39.33293,0.236288,52.72838,0.245336,41.68822,0.035554,194.81773,0.539358,143.702772,0.349051
96.35111,0.476453,99.082938,0.562473,39.521325,0.408295,53.130966,0.134334,41.890274,0.297716,195.252368,0.109001,144.132688,0.224264
96.815807,0.579216,99.731507,0.685387,39.728147,0.166286,53.312803,0.155655,42.352992,0.054421,195.47758,0.225467,144.588253,0.355491
96.993496,0.299301,100.371192,0.62878,39.978423,0.304843,53.539623,0.394637,42.56885,0.061428,195.707922,0.642868,144.843178,0.167339
98.155359,0.715526,101.259329,0.616738,40.203704,0.232166,54.15734,0.132439,42.794404,0.043303,196.122066,0.068903,145.163542,0.531291
98.602792,0.654142,101.46424,0.236521,40.410444,0.310208,54.386298,0.500915,43.228393,0.265379,196.359661,0.226329,145.495102,0.530368
99.924553,0.562891,101.698601,0.672596,40.609376,0.421068,55.046953,0.265771,43.859914,0.053033,196.571998,0.711816,145.899156,0.294464
100.334776,0.427448,102.579861,0.697722,40.835234,0.150081,55.266485,0.401421,44.086566,0.018584,197.007127,0.101889,147.612994,0.289338
101.684966,0.58927,103.216686,0.574299,41.024784,0.185348,55.68472,0.386346,44.482949,0.117882,197.458041,0.603508,147.7144,0.505466
102.104351,0.66511,103.876421,0.70157,41.240366,0.311292,56.136673,0.145798,44.695608,0.395943,197.878433,0.112255,147.844165,0.660214
103.433647,0.534006,104.76873,0.616945,41.466608,0.399627,56.348008,0.35075,45.356273,0.045692,198.123537,0.211522,147.951299,0.439232
103.849282,0.411713,105.216693,0.828764,41.690227,0.116892,56.559272,0.159362,45.574009,0.089585,198.351078,0.704285,148.171914,0.640919
105.225325,0.650165,106.071311,0.878018,41.882567,0.327975,56.792678,0.269569,45.788709,0.052055,198.576851,0.673714,148.296909,0.60683
105.649807,0.649727,106.733556,0.698268,42.097319,0.235293,56.943866,0.147575,46.006433,0.033739,198.797602,0.078916,148.403061,0.541494
106.9424,0.518659,107.397749,0.432757,42.317607,0.237437,57.212694,0.349054,46.222318,0.06686,199.027996,0.157018,148.60539,0.686517
107.375378,0.389098,108.284952,0.391336,42.55675,0.28666,57.426529,0.296482,46.432682,0.413546,199.247715,0.706784,148.724769,0.736647
108.725266,0.63619,108.729006,0.394423,42.973808,0.494702,57.704924,0.106719,46.659582,0.051725,199.70397,0.136333,148.836343,0.557059
109.14905,0.636983,109.611159,0.364029,43.210528,0.180765,57.856783,0.152222,46.872767,0.026209,199.926425,0.194291,148.962057,0.446617
110.479478,0.506035,110.262526,0.386535,43.417401,0.371756,58.069624,0.20543,47.084083,0.085314,200.126037,0.679705,149.064546,0.666639
110.89079,0.393931,110.925721,0.466067,43.607205,0.233823,58.50106,0.198094,47.299969,0.100722,200.575594,0.0992,149.193878,0.68739
