Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens
Song_2,10:5,5,N,Son,,37.368296,37.392453,,37.375836,,,,,,1.5,4.5,,5,,,,
Song_2,10:6,6,N,Son,,,37.604916,,37.598511,,,,,,,4.5,,5,,,,
Song_2,10:7,7,3,Son,37.831909,37.76909,37.787585,37.79989,37.797969,,,,,1.5,1.5,4.5,3,5,,,,
Song_2,10:8,8,N,Son,,,38.027081,38.013823,38.026667,,,,,,,5,3,5,,,,
Song_2,10:9,9,N,Son,,,38.262256,,38.26523,,,,,,,5,,5,,,,
Song_2,10:10,10,N,Son,,,38.453592,38.472977,,,,,,,,5,2.5,,,,,
Song_2,10:11,11,4,Son,38.691559,,38.675126,,38.662626,,,,,1.5,,5,,4.5,,,,
Song_2,10:12,12,N,Son,,,38.903423,38.86665,38.885344,,,,,,,5,3,4.5,,,,
Song_2,10:13,13,5,Son,39.118311,39.092974,39.117953,39.099345,39.109693,,,,,2,1.5,5,3,4.5,,,,
Song_2,10:14,14,N,Son,,,39.33293,39.306776,39.33085,,,,,,,5,3,4.5,,,,
Song_2,10:15,15,N,Son,,39.513641,39.521325,39.518532,39.532971,,,,,,1.5,5,3.5,4.5,,,,
Song_2,10:16,16,N,Son,,,39.728147,39.743593,39.757965,,,,,,,5,4,4.5,,,,
Song_2,11:1,1,1,Son,39.976633,,39.978423,,,,,,,1.5,,5,,,,,,
Song_2,11:2,2,N,Son,,,40.203704,,40.189752,,,,,,,5,,4,,,,
Song_2,11:3,3,N,Son,,,40.410444,40.400683,40.412777,,,,,,,5,3.5,4,,,,
Song_2,11:4,4,2,Son,40.626969,,40.609376,40.615179,40.623077,,,,,2,,5,3.5,4.5,,,,
Song_2,11:5,5,N,Son,,40.843321,40.835234,40.827943,,,,,,,1.5,5,4,,,,,
Song_2,11:6,6,N,Son,,,41.024784,41.041534,41.047207,,,,,,,5,4,4,,,,
Song_2,11:7,7,3,Son,41.251775,41.238324,41.240366,41.245964,41.240376,,,,,1.5,1.5,5,4,4.5,,,,
Song_2,11:8,8,N,Son,,,41.466608,41.450375,41.480419,,,,,,,5,4,4.5,,,,
Song_2,11:9,9,N,Son,,,41.690227,,41.68822,,,,,,,5,,4.5,,,,
Song_2,11:10,10,N,Son,,,41.882567,41.920993,41.890274,,,,,,,5,3.5,4.5,,,,
Song_2,11:11,11,4,Son,42.120592,,42.097319,,,,,,,1.5,,5,,,,,,
Song_2,11:12,12,N,Son,,,42.317607,42.323662,42.352992,,,,,,,5,4,4.5,,,,
Song_2,11:13,13,5,Son,42.560136,42.573222,42.55675,,42.56885,,,,,2,1.5,5,,4.5,,,,
Song_2,11:14,14,N,Son,,,,42.757628,42.794404,,,,,,,,3.5,4.5,,,,
Song_2,11:15,15,N,Son,,42.980501,42.973808,42.969665,,,,,,,1.5,4.5,3.5,,,,,
Song_2,11:16,16,N,Son,,,43.210528,43.198749,43.228393,,,,,,,4.5,3.5,4,,,,
Song_2,12:1,1,1,Son,43.415301,,43.417401,,,,,,,1.5,,4.5,,,,,,
Song_2,12:2,2,N,Son,,,43.607205,,,,,,,,,4.5,,,,,,
Song_2,12:3,3,N,Son,,,43.853092,43.80961,43.859914,,,,,,,4.5,3,3,,,,
Song_2,12:4,4,2,Son,44.064154,,44.060925,44.022219,44.086566,,,,,2,,4.5,3,3,,,,
Song_2,12:5,5,N,Son,,44.302981,44.277684,44.24385,,,,,,,1.5,4.5,3.5,,,,,
Song_2,12:6,6,N,Son,,,44.480865,,44.482949,,,,,,,4.5,,3,,,,
Song_2,12:7,7,3,Son,44.701605,44.672673,44.662397,44.684867,44.695608,,,,,1.5,1.5,4.5,3.5,3,,,,
Song_2,12:8,8,N,Son,,,44.890582,44.914091,,,,,,,,5,3.5,,,,,
Song_2,12:9,9,N,Son,,,45.137612,,,,,,,,,5,,,,,,
Song_2,12:10,10,N,Son,,,45.322047,45.335054,45.356273,,,,,,,5,3,2.5,,,,
Song_2,12:11,11,4,Son,45.579164,,45.582293,,45.574009,,,,,1.5,,5,,3,,,,
Song_2,12:12,12,N,Son,,,45.792588,45.783819,45.788709,,,,,,,5,3.5,3.5,,,,
Song_2,12:13,13,5,Son,46.030806,46.005854,46.000082,,46.006433,,,,,2,1.5,5,,3.5,,,,
Song_2,12:14,14,N,Son,,,46.230071,46.184384,46.222318,,,,,,,5,3,3.5,,,,
Song_2,12:15,15,N,Son,,46.401023,46.431968,46.404141,46.432682,,,,,,1.5,5,3,4,,,,
Song_2,12:16,16,N,Son,,,46.676469,46.621041,46.659582,,,,,,,4.5,3.5,4,,,,
Song_2,13:1,1,1,Son,46.900368,,46.866679,,46.872767,,,,,1.5,,5,,4,,,,
Song_2,13:2,2,N,Son,,,47.063287,,47.084083,,,,,,,5,,4.5,,,,
Song_2,13:3,3,N,Son,,,47.279699,47.282175,47.299969,,,,,,,5,3,5,,,,
Song_2,13:4,4,2,Son,47.528092,47.527934,47.534609,47.512367,47.530664,,,,,2,1.5,5,3,5,,,,
Song_2,13:5,5,N,Son,,47.723528,47.722945,47.719305,47.73701,,,,,,2,5,3.5,5,,,,
Song_2,13:6,6,N,Son,,,47.904738,,47.958791,,,,,,,5,,5,,,,
Song_2,13:7,7,3,Son,48.165247,48.157893,48.139239,48.159163,48.153577,,,,,1.5,2,5,3.5,5,,,,
Song_2,13:8,8,N,Son,,,48.368921,48.391212,48.381404,,,,,,,5,3.5,5,,,,
