Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens,Cl_Peak,Bs_Peak,Gt_Peak,Tr_Peak,Bn_Peak,Bl_Peak,Cj_Peak,Cn_Peak,Tm_Peak
Song_1,5|3,3,1,Son,,,,,,,52.453663,,,,,,,,,2.5,,,,,,,,,0.103291,,
Song_1,5|4,4,N,Son,,52.603609,,,,,52.626017,,,,2,,,,,3,,,,0.422066,,,,,0.270308,,
Song_1,5|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,5|6,6,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,5|7,7,N,Son,,53.116693,,,,,53.129142,,,,2,,,,,2.5,,,,0.452522,,,,,0.463579,,
Song_1,5|8,8,N,Son,,53.314414,,,,,53.326924,,,,2.5,,,,,2.5,,,,0.475077,,,,,0.070975,,
Song_1,5|9,9,3,Son,,53.511341,,,,,,,,,3,,,,,,,,,0.334997,,,,,,,
Song_1,5|10,10,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,5|11,11,N,Son,,,,,,,53.817968,,,,,,,,,2.5,,,,,,,,,0.103256,,
Song_1,5|12,12,4,Son,,53.990616,,,,,53.993432,,,,3.5,,,,,3,,,,0.34714,,,,,0.288174,,
Song_1,5|13,13,N,Son,,54.213474,,,,,,,,,3.5,,,,,,,,,0.393031,,,,,,,
Song_1,5|14,14,N,Son,,54.429209,,,,,,,,,3.5,,,,,,,,,0.389766,,,,,,,
Song_1,5|15,15,5,Son,,,,,,,54.522459,,,,,,,,,3,,,,,,,,,0.412859,,
Song_1,5|16,16,N,Son,,54.668323,,,,,,,,,3.5,,,,,,,,,0.59446,,,,,,,
Song_1,6|1,1,N,Son,,54.879812,54.815469,54.918656,,,,,,,4,0.5,0.5,,,,,,,0.547633,0.141464,0.209671,,,,,
Song_1,6|2,2,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,6|3,3,1,Son,,,,,,,55.236018,,,,,,,,,2.5,,,,,,,,,0.137828,,
Song_1,6|4,4,N,Son,,,,,,,55.409131,,,,,,,,,2.5,,,,,,,,,0.220611,,
Song_1,6|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,6|6,6,N,Son,,55.730395,,,,,,,,,3,,,,,,,,,0.335776,,,,,,,
Song_1,6|7,7,N,Son,,,,,,,55.920043,,,,,,,,,2.5,,,,,,,,,0.39592,,
Song_1,6|8,8,N,Son,,56.08153,,,,,56.125151,,,,3,,,,,2.5,,,,0.326588,,,,,0.055675,,
Song_1,6|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,6|10,10,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,6|11,11,N,Son,,,,,,,56.629141,,,,,,,,,2.5,,,,,,,,,0.119522,,
Song_1,6|12,12,4,Son,,,,,,,56.800633,,,,,,,,,3,,,,,,,,,0.136437,,
Song_1,6|13,13,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,6|14,14,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,6|15,15,5,Son,,,57.354928,,,,57.330237,,,,,0.5,,,,3,,,,,0.337139,,,,0.416412,,
Song_1,6|16,16,N,Son,,,,57.458562,,,,,,,,,0.5,,,,,,,,,0.107563,,,,,
Song_1,7|1,1,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,7|2,2,N,Son,,57.832301,,,,,,,,,1,,,,,,,,,0.307973,,,,,,,
Song_1,7|3,3,1,Son,,,,,,,58.057321,,,,,,,,,2.5,,,,,,,,,0.162835,,
Song_1,7|4,4,N,Son,,,58.257564,,,,58.244435,,,,,1,,,,2.5,,,,,0.158491,,,,0.159889,,
Song_1,7|5,5,2,Son,,58.383896,,,,,,,,,1,,,,,,,,,0.713445,,,,,,,
Song_1,7|6,6,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,7|7,7,N,Son,,58.731806,,,,,58.766558,,,,1.5,,,,,2.5,,,,0.27732,,,,,0.499787,,
Song_1,7|8,8,N,Son,,58.937124,,,,,,,,,2,,,,,,,,,0.487956,,,,,,,
Song_1,7|9,9,3,Son,,59.113981,,,,,,,,,2.5,,,,,,,,,0.646576,,,,,,,
Song_1,7|10,10,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,7|11,11,N,Son,,59.451756,,,,,59.459411,,,,3,,,,,2,,,,0.482227,,,,,0.136583,,
Song_1,7|12,12,4,Son,,,,,,,59.636765,,,,,,,,,2.5,,,,,,,,,0.274893,,
Song_1,7|13,13,N,Son,,59.849652,,,,,,,,,3,,,,,,,,,0.329725,,,,,,,
Song_1,7|14,14,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,7|15,15,5,Son,,,,,,,60.170444,,,,,,,,,2.5,,,,,,,,,0.524506,,
Song_1,7|16,16,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|1,1,N,Son,,60.517331,60.439598,60.507717,,,,,,,3,0.5,0.5,,,,,,,0.39223,0.353271,0.117191,,,,,
Song_1,8|2,2,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|3,3,1,Son,,,,,,,60.863499,,,,,,,,,2.5,,,,,,,,,0.242458,,
