start,end,ioi,seq_code,cv,npvi,ioi_beat,fourier_beat 
51.056,51.694,2.242,BM9,,,,
53.298,53.772,2.266,BM9,,,,
55.564,56.026,2.084,BM9,,,,
57.648,58.243,2.832,BM9,,,,
60.48,60.96,2.236,BM9,,,,
62.716,63.318,,BM9,,,,
,,,,,,,
1.438,1.928,3.61,BM10,0.16,15.75,0.34,0.74
5.048,5.538,2.706,BM10,,,,
7.754,8.222,2.843,BM10,,,,
10.597,11.045,2.439,BM10,,,,
13.036,13.484,3.034,BM10,,,,
16.07,16.465,2.791,BM10,,,,
18.861,19.287,2.431,BM10,,,,
21.292,21.835,2.684,BM10,,,,
23.976,24.498,2.663,BM10,,,,
26.639,27.065,2.737,BM10,,,,
29.376,29.791,3.259,BM10,,,,
32.635,33.167,2.226,BM10,,,,
34.861,35.372,2.96,BM10,,,,
37.821,38.365,3.671,BM10,,,,
41.492,41.912,3.91,BM10,,,,
45.402,45.866,2.934,BM10,,,,
48.336,48.784,2.624,BM10,,,,
50.96,51.466,2.508,BM10,,,,
53.468,53.989,2.914,BM10,,,,
56.382,56.797,3.147,BM10,,,,
59.529,59.939,3.663,BM10,,,,
63.192,63.559,,BM10,,,,
