Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Conga,Conga peak
274.229359,0.404438,51.089709,0.02797,294.984899,0.209784,279.676624,0.070174,89.133563,0.015746,438.168189,0.01741,84.798179,0.213562
274.545837,0.550671,51.250232,0.111506,295.220788,0.371159,287.796478,0.055921,89.245099,0.182227,438.408677,0.036596,85.296966,0.212703
274.886313,0.407993,51.384712,0.032593,296.03784,0.101272,291.107036,0.120526,89.373071,0.248881,438.682861,0.092023,85.457198,0.140393
275.647149,0.350946,51.635668,0.10459,296.781519,0.146056,293.163724,0.121671,89.529119,0.374355,439.183864,0.024528,85.68567,0.029895
276.168731,0.305706,51.927353,0.049235,297.017018,0.328123,296.092169,0.083233,89.742943,0.389025,439.290599,0.01915,85.832913,0.118576
278.3043,0.642634,52.175786,0.106418,297.309973,0.338949,299.12821,0.06569,89.907131,0.391199,439.402446,0.03389,86.380722,0.222688
279.95439,0.300561,52.317492,0.106153,298.88887,0.281633,299.402511,0.077212,90.052856,0.032084,439.548432,0.01715,86.539288,0.20797
282.26122,0.861366,52.56425,0.152724,299.110034,0.233693,299.774495,0.082937,90.189836,0.040274,439.665088,0.068025,86.75692,0.108288
282.507998,0.43643,52.866411,0.180389,299.381823,0.274643,301.475728,0.081265,90.363762,0.016813,439.788061,0.045888,86.911726,0.09164
282.81716,0.43146,53.396581,0.112432,300.184022,0.112189,301.867948,0.074966,90.739301,0.023869,440.173282,0.024401,87.173649,0.039156
284.370999,0.563719,53.786618,0.122719,300.999999,0.235306,304.39243,0.115003,90.974425,0.020288,440.403678,0.040596,87.287922,0.023197
284.60303,0.457232,54.084546,0.109125,301.202608,0.246217,307.691354,0.102234,91.123319,0.016461,440.513632,0.036618,87.445861,0.161163
284.886071,0.48848,54.328881,0.154246,301.47605,0.385642,308.051015,0.095489,92.047234,0.394133,440.669639,0.079596,87.599913,0.222172
285.526291,0.392062,54.482757,0.125381,302.250064,0.10612,309.696432,0.109844,92.317624,0.036875,440.847141,0.060502,87.812203,0.181289
286.408012,0.524295,54.713902,0.16206,303.035566,0.258017,310.103962,0.106505,92.578163,0.288049,440.997873,0.056268,87.957338,0.178595
286.631637,0.631026,55.023201,0.196104,303.244514,0.334387,312.612528,0.074363,92.859994,0.056545,441.162925,0.073464,88.219597,0.015355
286.925976,0.518817,55.543454,0.112194,303.518571,0.309197,315.905232,0.054187,93.097655,0.019195,441.346939,0.065794,88.490996,0.207549
287.62839,0.6627,55.711759,0.036341,305.057744,0.204656,316.266541,0.056083,93.236716,0.281706,441.492017,0.04577,88.65132,0.18371
288.122715,0.473088,55.916566,0.13893,305.321632,0.392919,316.646652,0.066713,93.40313,0.021449,441.646467,0.176379,88.859134,0.226945
288.51411,0.616092,56.219186,0.086251,305.597208,0.19672,317.94465,0.082823,93.637965,0.034725,441.731863,0.016304,89.008172,0.13259
288.739377,0.604714,56.464365,0.160772,307.162996,0.267025,318.299063,0.078955,93.998647,0.355804,441.965183,0.02182,89.253042,0.021252
289.047909,0.552258,56.649022,0.066644,307.376954,0.279518,320.455233,0.116333,94.185944,0.02922,442.200627,0.072895,89.380215,0.036471
290.591904,0.559213,56.848232,0.154252,307.682474,0.276977,320.802582,0.097907,94.437516,0.07631,442.361767,0.034921,89.52751,0.217866
290.813906,0.648222,57.151979,0.195524,309.221276,0.161306,324.112041,0.090598,94.665816,0.432805,442.482085,0.037556,89.68078,0.168168
291.119283,0.469343,57.686466,0.174609,309.425191,0.211032,324.485917,0.092864,94.966353,0.072203,442.610946,0.082375,89.895481,0.168272
292.648515,0.680353,58.065759,0.137594,309.711552,0.243813,324.88824,0.053524,95.216014,0.016297,443.147975,0.02117,90.040399,0.24276
292.890081,0.548762,58.349045,0.085488,310.482287,0.103376,326.539672,0.075426,95.343357,0.280496,443.24834,0.017531,90.584204,0.204365
293.181838,0.409697,58.588667,0.108526,311.21069,0.229072,328.720162,0.05767,95.499085,0.064898,443.368613,0.041902,90.750159,0.219619
