Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
29.187792,0.343114,51.506941,0.065494,15.088717,0.150442,21.919228,0.119736,16.405991,0.035231,130.587193,0.432908,219.790425,0.775099,15.68036,0.098563,27.923866,0.125795
29.62404,0.651812,52.677431,0.070897,15.231295,0.343183,22.168896,0.171976,16.542352,0.039068,131.185597,0.360504,220.905562,0.809271,15.813486,0.022932,29.19267,0.11159
30.044547,0.530775,53.839026,0.03549,15.378938,0.288779,22.359974,0.200665,16.70042,0.186977,131.428332,0.101021,222.095113,0.775255,15.941334,0.199457,29.489751,0.129774
30.456255,0.735729,54.000664,0.025664,15.528595,0.316199,23.237749,0.113956,16.857024,0.100043,131.601941,0.117113,223.237789,0.789882,16.097383,0.019738,29.64811,0.112585
30.810184,0.587633,55.002619,0.026005,15.681849,0.550201,23.492168,0.138642,16.97958,0.074657,131.761558,0.33754,225.509698,0.75881,16.392768,0.320956,33.296008,0.281939
31.231921,0.565931,55.157252,0.027429,16.11191,0.806144,23.676846,0.355884,17.120543,0.054447,132.01755,0.077458,225.914106,0.937057,16.535066,0.470064,33.552024,0.378866
31.625096,0.623657,55.596912,0.044635,16.300891,0.104804,23.969515,0.119645,17.256205,0.041034,132.187348,0.083871,227.960652,0.47584,16.690361,0.084213,33.776553,0.371455
32.396231,0.639686,55.754606,0.058916,16.571216,0.118698,24.232717,0.126296,17.42268,0.119294,132.348129,0.243628,228.217231,0.665839,16.83449,0.033481,33.973642,0.528523
32.818718,0.756987,55.943143,0.066876,16.721291,0.727897,24.520194,0.147613,17.50723,0.225214,132.598284,0.098771,229.124691,0.51598,16.963761,0.296523,34.184616,0.24062
33.556009,0.496057,57.208974,0.031099,17.118838,0.160301,25.10618,0.192733,17.59954,0.362747,132.758234,0.099333,229.389997,0.650036,17.099932,0.095407,37.218419,0.207894
33.96077,0.695683,57.35435,0.06017,17.263636,0.583034,25.39765,0.175846,17.687048,0.337415,132.924727,0.300079,230.210782,0.345624,17.257753,0.046896,37.641885,0.527666
34.712943,0.532094,57.660341,0.092086,17.476912,0.106918,25.559952,0.128956,17.792948,0.324212,133.208262,0.08077,230.485611,0.587598,17.428995,0.021523,37.965225,0.51275
35.128097,0.422652,58.68201,0.029656,17.706316,0.291145,25.697633,0.225097,17.874284,0.244003,133.527494,0.454611,231.389208,0.46572,17.519117,0.321478,38.318766,0.555244
35.881914,0.667267,59.658945,0.025028,17.844542,0.248058,25.990453,0.324844,18.000172,0.484992,133.776587,0.088977,231.63718,0.583228,17.665842,0.402313,38.714562,0.876419
36.318751,0.460891,59.85574,0.035361,17.994959,0.409622,26.259945,0.244121,18.265834,0.542156,133.944889,0.114145,232.513127,0.406163,17.816701,0.526801,39.034245,1.001135
36.640675,0.528942,60.637606,0.025104,18.413679,0.561495,26.550792,0.189767,18.42338,0.063969,134.108076,0.349101,232.783554,0.619824,17.978745,0.481482,39.327321,0.887391
37.068435,0.45574,60.855715,0.031166,18.540093,0.11028,26.860834,0.423843,18.576159,0.613247,134.509094,0.068223,233.683554,0.425339,18.250132,0.11532,39.625679,0.569705
37.62658,0.451166,61.055063,0.038209,18.865945,0.134397,27.157582,0.330896,18.704263,0.038271,134.690831,0.390088,233.937567,0.622832,18.583596,0.095515,39.964059,0.635888
38.172529,0.357586,62.067036,0.059427,19.015678,0.623205,27.434817,0.164973,18.852043,0.102385,134.933422,0.095029,235.064897,0.601179,18.689824,0.354867,40.278881,0.404565
38.612399,0.435559,63.45341,0.036515,19.423582,0.103398,27.58322,0.196261,18.990324,0.2309,135.094232,0.116127,235.99883,0.588734,18.834684,0.467252,40.506178,0.372076
38.935673,0.311314,64.488983,0.040655,19.588148,0.65368,27.747001,0.170263,19.148917,0.099351,135.27094,0.42719,236.28208,0.572695,19.006182,0.054265,40.762486,0.481569
39.359205,0.544541,64.796519,0.038617,19.95989,0.400348,28.272203,0.304892,19.276003,0.084839,135.860997,0.428566,237.141286,0.397506,19.15074,0.038544,43.336335,0.105467
39.965251,0.709932,65.480267,0.029007,20.473037,0.105965,28.590309,0.184184,19.40843,0.07207,136.116019,0.096744,237.414235,0.541663,19.269066,0.332234,47.170319,0.580202
40.535135,0.341294,65.672894,0.078069,20.68288,0.10978,28.882086,0.29297,19.572193,0.126338,136.278757,0.106841,238.320346,0.284245,19.402812,0.191864,47.308392,0.416073
40.95746,0.555716,65.864247,0.084668,21.186317,0.583821,29.173118,0.146141,19.912674,0.218078,136.435359,0.376229,238.572061,0.499984,19.561098,0.05577,47.585138,0.389822
41.851932,0.585942,65.97055,0.097118,21.358509,0.1508,29.334954,0.397991,19.992881,0.493142,136.862934,0.100973,239.418366,0.288245,19.918064,0.040844,47.758793,0.111471
42.153858,0.438149,66.703391,0.032774,21.503907,0.378797,29.620291,0.268607,20.592419,0.027645,137.013638,0.455325,239.687892,0.413887,20.001114,0.581462,47.869118,0.366406
43.086717,0.54363,66.994637,0.079456,21.637528,0.294921,29.765407,0.164849,20.756807,0.080139,137.276772,0.117386,240.586067,0.355929,20.497855,0.018329,48.002525,0.125601
43.36527,0.32514,67.275191,0.099893,21.789783,0.439826,29.897761,0.116771,20.910476,0.037592,137.431334,0.097754,240.859846,0.533287,20.603939,0.105011,48.152822,0.379897
44.238236,0.506486,67.420115,0.086682,21.94378,0.34456,30.059903,0.212415,21.050517,0.047872,138.177631,0.487932,241.715572,0.26297,20.765163,0.026596,48.310265,0.452189
44.509841,0.421485,68.200723,0.029741,22.211779,0.190038,30.589475,0.242828,21.171447,0.162461,138.444315,0.073476,241.99064,0.625017,21.0468,0.060749,48.441737,0.522534
44.845527,0.399265,68.779802,0.042018,22.358526,0.420147,30.943535,0.204708,21.341208,0.219602,138.605699,0.121414,242.891583,0.353486,21.17391,0.362426,48.713475,0.453516
45.2304,0.522303,68.976346,0.069677,22.527331,0.24744,31.365123,0.147778,21.621357,0.064504,138.763254,0.383919,243.155237,0.529948,21.337605,0.393223,48.861011,0.199367
45.667868,0.560308,69.196939,0.067024,22.666334,0.166541,31.530365,0.188109,21.769603,0.036401,139.347276,0.303273,244.0045,0.199816,21.630464,0.036658,49.001483,0.369093
46.395568,0.520654,69.365979,0.051965,22.812972,0.259168,31.8175,0.326522,21.923848,0.029152,139.60563,0.096614,244.285536,0.602842,21.745346,0.142134,49.189578,0.504491
46.831593,0.614463,69.796923,0.030261,22.948221,0.14532,32.108928,0.228503,22.206128,0.087119,139.762627,0.098728,245.181212,0.196018,21.89607,0.077337,49.324258,0.444592
47.591601,0.461666,69.968622,0.02585,23.098042,0.339999,32.821112,0.140545,22.341526,0.561162,139.931354,0.411939,245.441687,0.625826,22.181689,0.078143,49.460883,0.706644
48.009205,0.458163,70.160501,0.071187,23.25756,0.2788,33.000626,0.361419,22.495734,0.099895,140.526979,0.475693,246.288758,0.194418,22.316439,0.337821,49.607267,0.978335
48.320147,0.593058,70.373224,0.070444,23.393927,0.176611,33.28896,0.132243,22.789026,0.041132,140.776264,0.085086,246.562528,0.447716,22.486752,0.501164,49.824698,0.344911
48.728576,0.447057,70.737034,0.08197,23.527565,0.240523,33.670204,0.119323,22.923639,0.107274,140.940777,0.115623,247.436093,0.222543,22.783006,0.0508,49.953955,0.517351
49.140223,0.497042,70.954832,0.083438,23.671546,0.209236,33.830239,0.196052,23.079049,0.067364,141.099637,0.345519,247.693843,0.427217,22.91077,0.111432,50.16491,0.435318
49.485763,0.571341,71.135714,0.02906,23.832951,0.16495,34.128891,0.395536,23.248596,0.050236,141.514345,0.080129,248.549345,0.200562,23.0719,0.073207,50.35905,0.357517
49.887475,0.411905,71.320693,0.087058,23.968803,0.294045,34.416702,0.126384,23.383664,0.040642,141.676724,0.370692,248.836396,0.457166,23.36235,0.051855,50.542232,0.562754
50.148895,0.276028,71.547387,0.077023,24.103043,0.309563,34.557554,0.2374,23.521021,0.171813,141.936949,0.092883,249.701496,0.239664,23.495177,0.398328,50.744001,0.445261
50.623689,0.616166,71.713623,0.034831,24.266198,0.402168,34.89074,0.129848,23.683482,0.141039,142.09423,0.086295,249.982917,0.443259,23.658826,0.399623,50.916115,0.699333
51.071946,0.504312,71.906286,0.082602,24.550469,0.252857,35.148468,0.110055,23.958936,0.075574,142.282701,0.429223,250.83458,0.168258,23.94889,0.082427,51.095504,0.668097
51.488171,0.644461,72.884666,0.035178,24.682275,0.399605,35.281953,0.169493,24.099952,0.02332,143.849339,0.59872,251.110612,0.429781,24.076785,0.113667,51.285912,0.583738
51.842625,0.479863,73.777587,0.042866,24.863419,0.343769,35.576203,0.285439,24.252531,0.077258,144.219255,0.138049,251.983184,0.345219,24.233965,0.063896,51.478989,0.499223
52.242715,0.559886,73.911395,0.027269,25.126325,0.276122,35.858591,0.43206,24.404542,0.076021,144.571923,0.419928,252.243724,0.528542,24.515432,0.044171,51.694448,0.377487
52.647468,0.676829,74.062877,0.039159,25.27376,0.361712,36.42125,0.180516,24.548241,0.194126,145.137344,0.413461,253.095336,0.172736,24.6447,0.37372,51.944095,0.398689
53.23524,0.476206,74.342659,0.07702,25.433952,0.342986,36.602961,0.216716,24.652906,0.074045,145.552196,0.126259,253.366413,0.514426,24.817203,0.438019,52.096476,0.301475
53.8258,0.747967,74.492347,0.086673,25.575794,0.182976,36.876008,0.139288,24.833867,0.461543,145.715994,0.273688,254.253529,0.254877,25.108735,0.040735,52.293576,0.409301
